SubID,RewardLevel,PenaltyLevel,CueDisplayed,Interval,IntervalLength_Ideal,IntervalLength_Actual,IntervalLengthNoISI_Actual,TaskBugCorrected,NumErrorTrials,RewardLevelTaskCode,PenaltyLevelTaskCode
2011,1,1,Rew2_Pen2,1,6.8,6.80878247500004,5.80878247500004,0,0,1,1
2011,0,1,Rew1_Pen2,2,6.8,6.80718565799907,5.05718565799907,0,0,0,1
2011,0,1,Rew1_Pen2,3,7.6,7.71480104200236,5.46480104200236,0,0,0,1
2011,1,1,Rew2_Pen2,4,8.4,8.66525895799714,6.16525895799714,0,0,1,1
2011,1,1,Rew2_Pen2,5,6,6.01030915200317,4.26030915200317,0,0,1,1
2011,0,1,Rew1_Pen2,6,6,6.00120321099894,4.25120321099894,0,0,0,1
2011,1,1,Rew2_Pen2,7,6.8,6.80115140999987,4.80115140999987,0,0,1,1
2011,0,1,Rew1_Pen2,8,8.4,8.59138761299982,6.34138761299982,0,0,0,1
2011,1,1,Rew2_Pen2,9,6,6.22374358700108,4.47374358700108,0,0,1,1
2011,0,1,Rew1_Pen2,10,6.8,6.81483153799854,5.06483153799854,0,0,0,1
2011,0,1,Rew1_Pen2,11,6,6.00788207400183,4.25788207400183,0,0,0,1
2011,1,1,Rew2_Pen2,12,7.6,7.60113767299845,5.35113767299845,0,0,1,1
2011,0,1,Rew1_Pen2,13,8.4,8.41055928800051,6.16055928800051,0,0,0,1
2011,1,1,Rew2_Pen2,14,8.4,8.50812608900014,6.00812608900014,0,0,1,1
2011,0,1,Rew1_Pen2,15,7.6,7.79811186699953,5.54811186699953,0,0,0,1
2011,1,1,Rew2_Pen2,16,7.6,7.61089031299707,5.86089031299707,0,0,1,1
2011,0,0,Rew1_Pen1,17,6,6.15736567400018,4.40736567400018,0,0,0,0
2011,0,0,Rew1_Pen1,18,7.6,7.60120851400279,5.35120851400279,0,1,0,0
2011,0,0,Rew1_Pen1,19,7.6,7.60700300100143,5.85700300100143,0,0,0,0
2011,0,0,Rew1_Pen1,20,6.8,6.80115604299863,5.05115604299863,0,0,0,0
2011,0,0,Rew1_Pen1,21,6.8,7.0398274370018,4.7898274370018,0,0,0,0
2011,1,0,Rew2_Pen1,22,6.8,6.80774216799909,5.05774216799909,0,1,1,0
2011,1,0,Rew2_Pen1,23,7.6,7.72306832899994,5.22306832899994,0,1,1,0
2011,1,0,Rew2_Pen1,24,6,6.19040750299973,4.19040750299973,0,2,1,0
2011,0,0,Rew1_Pen1,25,8.4,8.5664999920009,6.3164999920009,0,1,0,0
2011,0,0,Rew1_Pen1,26,6,6.00707826799771,4.25707826799771,0,1,0,0
2011,1,0,Rew2_Pen1,27,8.4,8.40115453999897,5.90115453999897,0,1,1,0
2011,0,0,Rew1_Pen1,28,8.4,8.51559883099981,6.01559883099981,0,0,0,0
2011,1,0,Rew2_Pen1,29,6.8,6.80991304300187,4.80991304300187,0,0,1,0
2011,1,0,Rew2_Pen1,30,8.4,8.53191650400186,6.28191650400186,0,2,1,0
2011,1,0,Rew2_Pen1,31,7.6,7.60706208000192,5.85706208000192,0,0,1,0
2011,1,0,Rew2_Pen1,32,6,6.01028181699803,4.76028181699803,0,1,1,0
2011,1,0,Rew2_Pen1,33,6,6.00738580699908,4.25738580699908,0,0,1,0
2011,1,0,Rew2_Pen1,34,7.6,7.66540031699697,5.16540031699697,1,0,1,1
2011,1,0,Rew2_Pen1,35,7.6,7.86527710600058,5.36527710600058,1,2,1,1
2011,1,1,Rew2_Pen2,36,6.8,6.80113992000042,5.05113992000042,1,1,1,0
2011,1,0,Rew2_Pen1,37,6,6.0011886200009,4.0011886200009,0,0,1,0
2011,1,1,Rew2_Pen2,38,8.4,8.40754027599905,6.15754027599905,0,0,1,1
2011,1,0,Rew2_Pen1,39,7.6,7.60692965299677,5.60692965299677,1,2,1,1
2011,1,1,Rew2_Pen2,40,6.8,6.80644610099989,5.30644610099989,1,1,1,0
2011,1,0,Rew2_Pen1,41,7.6,7.60652077299892,5.10652077299892,1,0,1,1
2011,1,1,Rew2_Pen2,42,6.8,6.93264692500088,5.18264692500088,1,1,1,0
2011,1,1,Rew2_Pen2,43,8.4,8.40022499300176,5.90022499300176,0,0,1,1
2011,1,1,Rew2_Pen2,44,6.8,6.80698369600213,4.80698369600213,1,0,1,0
2011,1,0,Rew2_Pen1,45,6,6.0827234770004,4.3327234770004,0,0,1,0
2011,1,1,Rew2_Pen2,46,8.4,8.64035319500181,6.14035319500181,0,2,1,1
2011,1,1,Rew2_Pen2,47,8.4,8.40120375599872,5.65120375599872,0,1,1,1
2011,1,0,Rew2_Pen1,48,6,6.00719137399938,4.50719137399938,0,0,1,0
2011,0,1,Rew1_Pen2,49,8.4,8.41004347600028,6.16004347600028,0,0,0,1
2011,0,1,Rew1_Pen2,50,8.4,8.66471643499972,6.41471643499972,0,1,0,1
2011,0,1,Rew1_Pen2,51,6.8,6.80827482299719,5.30827482299719,1,0,0,0
2011,0,1,Rew1_Pen2,52,6.8,6.81066151100094,5.81066151100094,1,0,0,0
2011,0,0,Rew1_Pen1,53,6,6.01018771500094,4.76018771500094,0,0,0,0
2011,0,1,Rew1_Pen2,54,6.8,6.80725926100058,5.30725926100058,1,0,0,0
2011,0,0,Rew1_Pen1,55,7.6,7.60736571300004,5.85736571300004,1,0,0,1
2011,0,0,Rew1_Pen1,56,7.6,7.60721835300137,5.85721835300137,1,0,0,1
2011,0,1,Rew1_Pen2,57,8.4,8.40067009199993,5.90067009199993,0,0,0,1
2011,0,0,Rew1_Pen1,58,7.6,7.60737050600073,5.60737050600073,1,0,0,1
2011,0,1,Rew1_Pen2,59,6.8,6.80071212000257,4.55071212000257,1,0,0,0
2011,0,1,Rew1_Pen2,60,8.4,8.4073213240008,6.4073213240008,0,0,0,1
2011,0,0,Rew1_Pen1,61,6,6.24328943900036,4.74328943900036,0,0,0,0
2011,0,0,Rew1_Pen1,62,6,6.0043223649991,4.5043223649991,0,0,0,0
2011,0,0,Rew1_Pen1,63,6,6.00323433100129,4.50323433100129,0,0,0,0
2011,0,0,Rew1_Pen1,64,7.6,7.60114029100077,5.35114029100077,1,0,0,1
2011,1,1,Rew2_Pen2,65,7.6,7.6073330850013,5.6073330850013,0,0,1,1
2011,0,1,Rew1_Pen2,66,7.6,7.60731281000335,5.35731281000335,0,0,0,1
2011,1,1,Rew2_Pen2,67,6,6.00384342699908,4.50384342699908,0,0,1,1
2011,1,1,Rew2_Pen2,68,6.8,6.80113836300006,4.55113836300006,0,0,1,1
2011,0,1,Rew1_Pen2,69,6,6.00114849199963,4.25114849199963,0,0,0,1
2011,1,1,Rew2_Pen2,70,6.8,6.80670867599838,4.80670867599838,0,0,1,1
2011,0,1,Rew1_Pen2,71,6.8,6.80114694299846,4.80114694299846,0,0,0,1
2011,1,1,Rew2_Pen2,72,8.4,8.40114643799825,5.65114643799825,0,1,1,1
2011,0,1,Rew1_Pen2,73,6.8,6.84313388200098,5.09313388200098,0,1,0,1
2011,1,1,Rew2_Pen2,74,8.4,8.41555468400111,5.91555468400111,0,1,1,1
2011,0,1,Rew1_Pen2,75,8.4,8.40120247900268,6.15120247900268,0,3,0,1
2011,1,1,Rew2_Pen2,76,6,6.00999948000026,4.25999948000026,0,0,1,1
2011,0,1,Rew1_Pen2,77,7.6,7.61039927599995,5.61039927599995,0,1,0,1
2011,1,1,Rew2_Pen2,78,7.6,7.6011563969987,5.3511563969987,0,0,1,1
2011,0,1,Rew1_Pen2,79,6,6.00116577199879,4.50116577199879,0,0,0,1
2011,0,1,Rew1_Pen2,80,8.4,8.40292845099975,6.40292845099975,0,0,0,1
2011,0,0,Rew1_Pen1,81,7.6,7.60115363899968,5.10115363899968,0,1,0,0
2011,0,0,Rew1_Pen1,82,6,6.19911859999775,4.44911859999775,0,0,0,0
2011,0,0,Rew1_Pen1,83,6.8,6.80736324900136,4.80736324900136,0,1,0,0
2011,1,0,Rew2_Pen1,84,6,6.26187388000108,4.26187388000108,0,0,1,0
2011,0,0,Rew1_Pen1,85,6.8,7.02092342499964,5.02092342499964,0,0,0,0
2011,0,0,Rew1_Pen1,86,8.4,8.40391775800163,6.15391775800163,0,2,0,0
2011,1,0,Rew2_Pen1,87,6.8,6.80114195300121,4.55114195300121,0,0,1,0
2011,1,0,Rew2_Pen1,88,6.8,6.80120964399975,4.55120964399975,0,1,1,0
2011,0,0,Rew1_Pen1,89,8.4,8.40723213599995,6.15723213599995,0,1,0,0
2011,1,0,Rew2_Pen1,90,8.4,8.40657650600042,6.40657650600042,0,1,1,0
2011,0,0,Rew1_Pen1,91,6,6.00433492299999,4.25433492299999,0,0,0,0
2011,1,0,Rew2_Pen1,92,6,6.22051959799865,4.22051959799865,0,1,1,0
2011,1,0,Rew2_Pen1,93,7.6,7.72943308899994,5.47943308899994,0,0,1,0
2011,1,0,Rew2_Pen1,94,8.4,8.4040923399989,5.6540923399989,0,1,1,0
2011,0,0,Rew1_Pen1,95,7.6,7.60379576500054,5.60379576500054,0,2,0,0
2011,1,0,Rew2_Pen1,96,7.6,7.78219716700187,5.53219716700187,0,0,1,0
2011,1,1,Rew2_Pen2,97,6.8,6.80736295799943,4.80736295799943,1,3,1,0
2011,1,0,Rew2_Pen1,98,7.6,7.6012535819973,5.3512535819973,1,1,1,1
2011,1,0,Rew2_Pen1,99,7.6,7.77322087500215,5.52322087500215,1,0,1,1
2011,1,1,Rew2_Pen2,100,8.4,8.40387026900135,5.90387026900135,0,0,1,1
2011,1,1,Rew2_Pen2,101,8.4,8.40724382500048,5.90724382500048,0,0,1,1
2011,1,0,Rew2_Pen1,102,6,6.00120423300177,4.00120423300177,0,1,1,0
2011,1,1,Rew2_Pen2,103,6.8,6.80121147099999,4.55121147099999,1,0,1,0
2011,1,0,Rew2_Pen1,104,6,6.0041122870025,4.2541122870025,0,0,1,0
2011,1,0,Rew2_Pen1,105,6,6.01001713300138,4.26001713300138,0,2,1,0
2011,1,1,Rew2_Pen2,106,8.4,8.64056822700149,6.39056822700149,0,0,1,1
2011,1,1,Rew2_Pen2,107,6.8,6.80125382199913,5.05125382199913,1,0,1,0
2011,1,0,Rew2_Pen1,108,7.6,7.81553126599829,5.31553126599829,1,1,1,1
2011,1,1,Rew2_Pen2,109,6.8,6.80060968199905,4.80060968199905,1,0,1,0
2011,1,0,Rew2_Pen1,110,7.6,7.72394896699916,5.47394896699916,1,0,1,1
2011,1,1,Rew2_Pen2,111,8.4,8.40063752100104,6.15063752100104,0,0,1,1
2011,1,0,Rew2_Pen1,112,6,6.00737105300141,4.00737105300141,0,2,1,0
2011,0,1,Rew1_Pen2,113,6.8,6.80116071199882,5.05116071199882,1,0,0,0
2011,0,1,Rew1_Pen2,114,6.8,6.80735580100009,5.30735580100009,1,0,0,0
2011,0,0,Rew1_Pen1,115,6,6.00071638200097,4.25071638200097,0,1,0,0
2011,0,1,Rew1_Pen2,116,6.8,6.80121213500024,4.80121213500024,1,0,0,0
2011,0,0,Rew1_Pen1,117,6,6.13926676499977,4.38926676499977,0,0,0,0
2011,0,1,Rew1_Pen2,118,8.4,8.40117340299912,6.15117340299912,0,0,0,1
2011,0,1,Rew1_Pen2,119,8.4,8.40115106199664,5.90115106199664,0,0,0,1
2011,0,1,Rew1_Pen2,120,8.4,8.40988635000031,6.15988635000031,0,0,0,1
2011,0,0,Rew1_Pen1,121,7.6,7.60443998499977,5.60443998499977,1,0,0,1
2011,0,0,Rew1_Pen1,122,7.6,7.60734699300156,5.60734699300156,1,0,0,1
2011,0,0,Rew1_Pen1,123,7.6,7.61118804299986,5.36118804299986,1,1,0,1
2011,0,0,Rew1_Pen1,124,7.6,7.61002150300192,5.61002150300192,1,0,0,1
2011,0,1,Rew1_Pen2,125,8.4,8.40730553499816,6.40730553499816,0,0,0,1
2011,0,1,Rew1_Pen2,126,6.8,6.80431453500205,4.80431453500205,1,0,0,0
2011,0,0,Rew1_Pen1,127,6,6.00386087899824,4.25386087899824,0,0,0,0
2011,0,0,Rew1_Pen1,128,6,6.00120916000014,4.25120916000014,0,0,0,0
2012,0,0,Rew1_Pen1,1,7.6,7.60250856299899,5.85250856299899,1,0,0,1
2012,0,1,Rew1_Pen2,2,8.4,8.41054943200288,6.66054943200288,0,0,0,1
2012,0,1,Rew1_Pen2,3,6.8,6.80647199899977,5.30647199899977,1,0,0,0
2012,0,0,Rew1_Pen1,4,6,6.0069914079977,4.5069914079977,0,0,0,0
2012,0,1,Rew1_Pen2,5,6.8,6.80700798399994,5.30700798399994,1,0,0,0
2012,0,0,Rew1_Pen1,6,7.6,7.60114662900014,5.60114662900014,1,0,0,1
2012,0,1,Rew1_Pen2,7,8.4,8.40723101399999,6.40723101399999,0,0,0,1
2012,0,0,Rew1_Pen1,8,6,6.00668426300035,4.50668426300035,0,0,0,0
2012,0,0,Rew1_Pen1,9,7.6,7.6011996399975,5.6011996399975,1,0,0,1
2012,0,1,Rew1_Pen2,10,6.8,6.80713376399945,5.55713376399945,1,0,0,0
2012,0,1,Rew1_Pen2,11,6.8,6.80713822600228,5.30713822600228,1,0,0,0
2012,0,0,Rew1_Pen1,12,7.6,7.60645241500242,5.60645241500242,1,0,0,1
2012,0,0,Rew1_Pen1,13,6,6.01133882399881,4.76133882399881,0,0,0,0
2012,0,1,Rew1_Pen2,14,8.4,8.4110859249995,6.9110859249995,0,0,0,1
2012,0,0,Rew1_Pen1,15,6,6.00120860099923,4.50120860099923,0,0,0,0
2012,0,1,Rew1_Pen2,16,8.4,8.40114922000066,6.40114922000066,0,0,0,1
2012,1,1,Rew2_Pen2,17,6.8,6.80983134099733,5.05983134099733,1,0,1,0
2012,1,1,Rew2_Pen2,18,6.8,6.80115429500074,5.05115429500074,1,0,1,0
2012,1,1,Rew2_Pen2,19,8.4,8.40121769599864,5.65121769599864,0,0,1,1
2012,1,0,Rew2_Pen1,20,7.6,7.60646866300158,5.85646866300158,1,0,1,1
2012,1,0,Rew2_Pen1,21,6,6.00706820699997,4.75706820699997,0,0,1,0
2012,1,0,Rew2_Pen1,22,7.6,7.61047567900096,5.61047567900096,1,0,1,1
2012,1,0,Rew2_Pen1,23,6,6.16539633999855,4.41539633999855,0,0,1,0
2012,1,1,Rew2_Pen2,24,8.4,8.63962627599903,7.13962627599903,0,1,1,1
